#FORMAT=8899-SNAPSHOT-1
#MARK=new12
#DATE=20260612
#POOL=Розничное ДУ
#PLANS=17154
#ROWS=85507
#CREATED=20260618095816

ДоговорДУ|План|ГруппаОпераций|ПланПроведен|ТипДокумента|Документ|ДокументПроведен|ВидОперации|Выполнять
583dbfb0-bf9b-11f0-b2ca-0050569f27c0|084b7814-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|084b78bf-6ada-11f1-85a8-00505689c994|1||0
583dbfb0-bf9b-11f0-b2ca-0050569f27c0|084b7814-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|084b7a6e-6ada-11f1-85a8-00505689c994|1||0
583dd313-bf9b-11f0-b2ca-0050569f27c0|084b7815-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
583dd313-bf9b-11f0-b2ca-0050569f27c0|084b7815-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
583dd313-bf9b-11f0-b2ca-0050569f27c0|084b7815-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
583dd313-bf9b-11f0-b2ca-0050569f27c0|084b7815-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|084b7a49-6ada-11f1-85a8-00505689c994|1||0
583dd313-bf9b-11f0-b2ca-0050569f27c0|084b7815-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|084b78e5-6ada-11f1-85a8-00505689c994|1||0
ee651142-bfa0-11f0-b2ca-0050569f27c0|084b784d-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
ee651142-bfa0-11f0-b2ca-0050569f27c0|084b784d-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
ee651142-bfa0-11f0-b2ca-0050569f27c0|084b784d-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
ee651142-bfa0-11f0-b2ca-0050569f27c0|084b784d-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|084b791e-6ada-11f1-85a8-00505689c994|1||0
ee651142-bfa0-11f0-b2ca-0050569f27c0|084b784d-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|084b7add-6ada-11f1-85a8-00505689c994|1||0
542484ca-bfa2-11f0-b2ca-0050569f27c0|084b7860-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
542484ca-bfa2-11f0-b2ca-0050569f27c0|084b7860-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
542484ca-bfa2-11f0-b2ca-0050569f27c0|084b7860-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
542484ca-bfa2-11f0-b2ca-0050569f27c0|084b7860-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|084b7a93-6ada-11f1-85a8-00505689c994|1||0
542484ca-bfa2-11f0-b2ca-0050569f27c0|084b7860-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|084b7944-6ada-11f1-85a8-00505689c994|1||0
1fa3107a-bfa5-11f0-b2ca-0050569f27c0|084b7886-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
